open,close,high,low,value,volume,begin,end
311.0,313.9,315.42,310.46,13921831113.0,44322800.0,2021-06-17,2021-06-17 23:59:59
312.9,309.3,313.82,308.13,19369747579.7,62462450.0,2021-06-18,2021-06-18 23:59:59
308.47,310.4,310.4,306.56,11127233121.1,36129780.0,2021-06-21,2021-06-21 23:59:59
310.79,309.73,311.17,308.13,7286583759.1,23538080.0,2021-06-22,2021-06-22 23:59:59
310.45,309.79,312.0,308.69,7704930824.2,24831290.0,2021-06-23,2021-06-23 23:59:59
309.8,310.0,311.2,308.84,6120601296.5,19725240.0,2021-06-24,2021-06-24 23:59:59
310.58,311.81,312.5,309.82,7045361825.6,22598640.0,2021-06-25,2021-06-25 23:59:59
311.77,309.48,312.06,309.13,6037009686.4,19460180.0,2021-06-28,2021-06-28 23:59:59
308.7,306.1,309.23,303.66,10398990877.1,33944770.0,2021-06-29,2021-06-29 23:59:59
306.19,306.45,306.91,303.34,9623571888.2,31549580.0,2021-06-30,2021-06-30 23:59:59
306.0,305.78,307.35,305.0,6115741878.3,19989790.0,2021-07-01,2021-07-01 23:59:59
305.52,307.39,308.37,304.71,8878528675.3,28908330.0,2021-07-02,2021-07-02 23:59:59
307.81,307.0,308.11,304.8,5056652727.5,16509700.0,2021-07-05,2021-07-05 23:59:59
307.32,303.34,307.59,302.37,9947377150.2,32694440.0,2021-07-06,2021-07-06 23:59:59
303.98,304.06,306.2,302.85,6904870033.4,22676030.0,2021-07-07,2021-07-07 23:59:59
303.0,302.63,304.3,300.62,9291231244.7,30771300.0,2021-07-08,2021-07-08 23:59:59
302.7,303.56,304.1,301.22,6221033067.9,20527240.0,2021-07-09,2021-07-09 23:59:59
303.55,306.23,306.27,301.52,7698399076.0,25302270.0,2021-07-12,2021-07-12 23:59:59
306.81,303.0,307.22,302.11,6464658959.4,21270580.0,2021-07-13,2021-07-13 23:59:59
302.7,301.5,303.69,300.74,7237029789.3,23974320.0,2021-07-14,2021-07-14 23:59:59
301.13,301.72,303.5,299.77,6369475563.9,21111670.0,2021-07-15,2021-07-15 23:59:59
302.05,298.85,304.78,298.57,10423278055.1,34533280.0,2021-07-16,2021-07-16 23:59:59
298.0,291.46,298.36,290.03,12140364229.1,41320510.0,2021-07-19,2021-07-19 23:59:59
292.33,296.1,296.8,292.3,10479634188.6,35594130.0,2021-07-20,2021-07-20 23:59:59
296.0,294.86,296.94,293.54,5176146679.3,17541560.0,2021-07-21,2021-07-21 23:59:59
295.77,297.27,298.17,294.43,6033649682.7,20344800.0,2021-07-22,2021-07-22 23:59:59
297.49,296.38,298.69,295.04,4439946470.0,14967220.0,2021-07-23,2021-07-23 23:59:59
294.0,303.34,303.68,291.98,10175480067.2,34024050.0,2021-07-26,2021-07-26 23:59:59
302.66,299.71,304.59,299.38,11625473240.2,38608790.0,2021-07-27,2021-07-27 23:59:59
300.43,302.9,302.98,300.0,8142734620.6,27009120.0,2021-07-28,2021-07-28 23:59:59
304.13,303.12,305.27,303.03,8520685080.9,28037210.0,2021-07-29,2021-07-29 23:59:59
302.48,305.59,306.67,301.12,15157391539.0,49731920.0,2021-07-30,2021-07-30 23:59:59
306.23,306.51,308.63,306.06,9712485073.5,31593540.0,2021-08-02,2021-08-02 23:59:59
306.31,309.89,309.89,306.25,10476332321.7,33931370.0,2021-08-03,2021-08-03 23:59:59
310.26,311.1,312.0,309.25,9619501057.0,30932050.0,2021-08-04,2021-08-04 23:59:59
311.02,315.82,315.91,310.82,11711056494.3,37329160.0,2021-08-05,2021-08-05 23:59:59
316.2,319.15,320.0,315.31,17250983207.7,54141450.0,2021-08-06,2021-08-06 23:59:59
318.59,326.91,328.3,317.62,23364951835.9,72070400.0,2021-08-09,2021-08-09 23:59:59
328.05,330.11,331.29,326.97,13686731557.3,41541930.0,2021-08-10,2021-08-10 23:59:59
330.7,329.9,330.98,326.21,11340789530.3,34452160.0,2021-08-11,2021-08-11 23:59:59
330.0,328.57,330.64,327.3,6906044138.1,21002650.0,2021-08-12,2021-08-12 23:59:59
328.6,328.68,330.27,327.31,6185311247.9,18816130.0,2021-08-13,2021-08-13 23:59:59
327.59,329.36,330.52,327.13,7890432812.2,23953750.0,2021-08-16,2021-08-16 23:59:59
329.0,334.5,335.7,328.55,14178855630.2,42472520.0,2021-08-17,2021-08-17 23:59:59
336.0,334.9,338.99,333.26,12240538414.4,36356910.0,2021-08-18,2021-08-18 23:59:59
333.5,332.69,334.0,329.1,15294644907.6,46184030.0,2021-08-19,2021-08-19 23:59:59
332.02,325.67,333.27,325.17,11920865393.1,36393250.0,2021-08-20,2021-08-20 23:59:59
327.85,329.22,329.81,326.55,6771726247.3,20613110.0,2021-08-23,2021-08-23 23:59:59
330.43,324.83,331.22,323.32,11661785449.4,35762700.0,2021-08-24,2021-08-24 23:59:59
324.3,324.57,325.32,321.26,9091893016.7,28105390.0,2021-08-25,2021-08-25 23:59:59
324.03,322.54,325.55,320.58,8889442613.5,27529220.0,2021-08-26,2021-08-26 23:59:59
323.71,327.41,327.5,321.8,9037851562.1,27848390.0,2021-08-27,2021-08-27 23:59:59
328.43,328.28,329.38,326.51,6693382122.6,20402150.0,2021-08-30,2021-08-30 23:59:59
328.5,327.94,330.48,327.3,10674890258.7,32464730.0,2021-08-31,2021-08-31 23:59:59
328.87,334.57,334.64,328.03,10163146008.5,30698660.0,2021-09-01,2021-09-01 23:59:59
334.67,329.0,334.91,328.77,10480537445.5,31605740.0,2021-09-02,2021-09-02 23:59:59
329.47,329.71,330.53,326.62,9726769112.2,29626390.0,2021-09-03,2021-09-03 23:59:59
330.0,329.37,331.45,328.5,5770432011.0,17491440.0,2021-09-06,2021-09-06 23:59:59
329.82,325.96,330.73,324.64,7987373264.7,24448110.0,2021-09-07,2021-09-07 23:59:59
325.96,331.7,332.74,322.84,15740553281.4,47841520.0,2021-09-08,2021-09-08 23:59:59
330.4,326.01,330.4,325.69,9825197205.3,29962700.0,2021-09-09,2021-09-09 23:59:59
328.01,326.25,328.43,325.21,5729049099.3,17532340.0,2021-09-10,2021-09-10 23:59:59
327.01,327.41,328.14,324.01,7938937327.1,24365060.0,2021-09-13,2021-09-13 23:59:59
327.45,326.48,328.84,325.48,7368952203.4,22505240.0,2021-09-14,2021-09-14 23:59:59
326.46,333.51,334.6,326.46,14527591562.8,43834510.0,2021-09-15,2021-09-15 23:59:59
333.04,326.99,334.5,324.91,20507737106.1,62503480.0,2021-09-16,2021-09-16 23:59:59
326.9,329.56,331.73,325.7,17871079350.1,54126320.0,2021-09-17,2021-09-17 23:59:59
327.01,326.92,328.85,325.0,10401831490.4,31832600.0,2021-09-20,2021-09-20 23:59:59
328.44,323.25,329.48,322.39,15522239088.4,47769290.0,2021-09-21,2021-09-21 23:59:59
325.28,327.8,328.9,322.5,12463834230.6,38198960.0,2021-09-22,2021-09-22 23:59:59
328.94,327.02,329.4,325.13,8851933420.7,27071410.0,2021-09-23,2021-09-23 23:59:59
326.08,325.44,326.23,323.62,7989126504.7,24584330.0,2021-09-24,2021-09-24 23:59:59
326.39,331.68,332.46,326.09,11349159556.7,34410300.0,2021-09-27,2021-09-27 23:59:59
332.07,329.3,334.48,328.32,17401187015.8,52542880.0,2021-09-28,2021-09-28 23:59:59
329.09,328.43,330.45,327.15,9089927992.7,27649210.0,2021-09-29,2021-09-29 23:59:59
329.98,340.99,342.2,329.45,28126964094.4,83622260.0,2021-09-30,2021-09-30 23:59:59
339.21,338.48,339.94,336.08,12711650647.5,37690990.0,2021-10-01,2021-10-01 23:59:59
337.9,345.85,349.31,336.22,20681506812.0,60125260.0,2021-10-04,2021-10-04 23:59:59
346.78,363.2,365.0,344.9,30825175209.9,86824850.0,2021-10-05,2021-10-05 23:59:59
366.0,364.28,375.48,359.35,35040194593.9,95804990.0,2021-10-06,2021-10-06 23:59:59
367.69,368.93,374.0,365.88,18307876011.9,49555650.0,2021-10-07,2021-10-07 23:59:59
370.0,373.01,374.55,368.0,11527412588.4,31050580.0,2021-10-08,2021-10-08 23:59:59
375.0,387.6,388.11,375.0,25575373781.3,66699560.0,2021-10-11,2021-10-11 23:59:59
385.88,377.79,386.86,376.72,19716234876.2,51665490.0,2021-10-12,2021-10-12 23:59:59
378.86,378.8,380.91,370.81,20580875845.5,54687330.0,2021-10-13,2021-10-13 23:59:59
382.0,376.09,383.13,374.57,13743991379.8,36363890.0,2021-10-14,2021-10-14 23:59:59
377.92,371.82,378.41,370.43,13934166254.1,37369170.0,2021-10-15,2021-10-15 23:59:59
369.35,364.6,369.91,363.75,13978826905.5,38233180.0,2021-10-18,2021-10-18 23:59:59
366.14,373.18,373.4,361.5,14729685626.4,40031730.0,2021-10-19,2021-10-19 23:59:59
371.83,370.16,371.97,367.1,10172889099.5,27537590.0,2021-10-20,2021-10-20 23:59:59
368.2,364.6,371.14,363.2,8989902917.2,24501070.0,2021-10-21,2021-10-21 23:59:59
364.0,364.37,370.39,362.37,9671339875.3,26378840.0,2021-10-22,2021-10-22 23:59:59
366.2,369.99,371.7,361.68,13114090088.6,35639850.0,2021-10-25,2021-10-25 23:59:59
369.89,372.16,374.63,365.66,15483820091.2,41833770.0,2021-10-26,2021-10-26 23:59:59
371.0,371.36,374.0,366.51,13495141235.6,36450620.0,2021-10-27,2021-10-27 23:59:59
370.5,365.36,374.92,362.32,19761549155.8,53892680.0,2021-10-28,2021-10-28 23:59:59
364.34,356.14,364.34,352.68,19154550770.8,53541990.0,2021-10-29,2021-10-29 23:59:59
356.15,370.96,371.47,356.14,20108431916.7,55134640.0,2021-11-01,2021-11-01 23:59:59
371.0,370.7,374.0,367.2,13981183328.4,37723170.0,2021-11-02,2021-11-02 23:59:59
370.0,370.13,370.5,365.03,11354869140.4,30876610.0,2021-11-03,2021-11-03 23:59:59
366.99,360.21,367.56,358.5,14225056249.1,39229740.0,2021-11-05,2021-11-05 23:59:59
362.57,358.39,363.97,355.6,14278009375.4,39736440.0,2021-11-08,2021-11-08 23:59:59
358.41,357.44,364.58,355.6,15004411479.7,41718590.0,2021-11-09,2021-11-09 23:59:59
356.7,348.65,358.8,348.0,16457699088.7,46558110.0,2021-11-10,2021-11-10 23:59:59
350.11,356.24,357.89,347.22,15179150045.5,42915840.0,2021-11-11,2021-11-11 23:59:59
356.24,347.59,356.37,339.68,34892222884.6,100682800.0,2021-11-12,2021-11-12 23:59:59
349.24,344.39,352.8,342.76,20797457060.0,59973490.0,2021-11-15,2021-11-15 23:59:59
345.99,337.91,346.47,336.01,21039571887.2,61972880.0,2021-11-16,2021-11-16 23:59:59
338.49,339.89,343.57,336.6,16942009572.1,49773710.0,2021-11-17,2021-11-17 23:59:59
338.97,336.93,343.12,333.5,15961631248.7,47124100.0,2021-11-18,2021-11-18 23:59:59
339.37,327.56,339.99,325.7,22189185221.3,67114710.0,2021-11-19,2021-11-19 23:59:59
326.05,309.15,326.39,306.67,45563102260.6,144394030.0,2021-11-22,2021-11-22 23:59:59
306.28,326.84,327.01,300.1,45736605718.3,144887010.0,2021-11-23,2021-11-23 23:59:59
328.0,321.22,329.97,317.35,25081449461.2,77919580.0,2021-11-24,2021-11-24 23:59:59
322.35,317.29,322.96,316.11,14063418089.7,44075230.0,2021-11-25,2021-11-25 23:59:59
307.14,304.42,312.0,303.22,27859460736.9,90702260.0,2021-11-26,2021-11-26 23:59:59
311.11,316.57,322.15,309.42,26132483041.5,82626540.0,2021-11-29,2021-11-29 23:59:59
311.0,315.0,318.58,310.09,31025495218.6,98214880.0,2021-11-30,2021-11-30 23:59:59
321.3,324.4,329.44,319.51,22750927797.6,69948230.0,2021-12-01,2021-12-01 23:59:59
325.4,326.8,329.0,320.54,19963662877.3,61450200.0,2021-12-02,2021-12-02 23:59:59
327.6,320.66,328.95,318.4,13947718236.0,43107850.0,2021-12-03,2021-12-03 23:59:59
322.0,307.5,324.16,304.18,30901866910.3,99688200.0,2021-12-06,2021-12-06 23:59:59
307.14,309.79,313.03,300.5,47159021183.1,154172870.0,2021-12-07,2021-12-07 23:59:59
310.99,296.95,316.88,291.57,72512692906.7,241043180.0,2021-12-08,2021-12-08 23:59:59
297.49,300.4,304.94,292.5,40274844717.3,133933650.0,2021-12-09,2021-12-09 23:59:59
300.5,297.44,304.28,294.43,24474375346.8,82046160.0,2021-12-10,2021-12-10 23:59:59
298.23,280.64,300.99,280.08,42131944975.3,146312930.0,2021-12-13,2021-12-13 23:59:59
280.2,284.9,286.09,261.5,49218627449.7,176483200.0,2021-12-14,2021-12-14 23:59:59
284.9,286.65,287.79,279.44,24828431135.5,87523240.0,2021-12-15,2021-12-15 23:59:59
287.7,295.89,298.7,286.2,39668733059.0,134813120.0,2021-12-16,2021-12-16 23:59:59
295.0,294.9,296.73,291.61,32344386589.0,109770570.0,2021-12-17,2021-12-17 23:59:59
293.11,288.4,293.11,285.63,22970334237.0,79679000.0,2021-12-20,2021-12-20 23:59:59
289.8,291.7,293.4,286.76,18815016922.5,64934720.0,2021-12-21,2021-12-21 23:59:59
291.8,294.0,297.23,289.23,18764947636.7,63860480.0,2021-12-22,2021-12-22 23:59:59
294.68,292.8,298.1,291.26,16328921885.0,55534990.0,2021-12-23,2021-12-23 23:59:59
292.92,293.89,294.18,289.0,11004253897.8,37671250.0,2021-12-24,2021-12-24 23:59:59
294.76,295.68,296.0,293.37,10535286767.5,35734540.0,2021-12-27,2021-12-27 23:59:59
